"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"NTN4",5,0.433003434001808,"no",-0.0353180251464204,0.0401937436334665,4,0.610183911464181,"no","",6.3379569967975e-30,"down","TTN (depleted, 34% vs 53%)","STK11 (depleted, 7% vs 17%)",567
"RRAGA",5,0.433098714577572,"no",0.0291740338955447,0.0641857158064987,4,0.045813075592418,"no","",1.17611231829848e-12,"down","","",567
"BPGM",6,0.433147813368155,"no",0.0243585516948229,0.0323215177922383,5,0.997763150201641,"no","",0.0617223397759274,"up","","STK11 (depleted, 4% vs 19%)",567
"LY6K",6,0.433279006254152,"no",0.0371700331589052,0.039081334665821,5,0.0660351333398915,"no","",4.52057180808229e-05,"up","SI (enriched, 21% vs 7%)","SMARCA4 (enriched, 7% vs 1%), TTN (enriched, 13% vs 5%)",567
"GNL1",6,0.433716366519843,"no",-0.023527801912611,0.0529521201680384,5,0.00547517492092128,"no","",0.0145799328722191,"down","","",567
"C17orf62",6,0.433891332363098,"no",-0.0903143502032051,0.123601176889688,0,NA,NA,"",NA,NA,NA,NA,567
"CDK2",4,0.434067319053236,"no",-0.042261049994686,0.0625335993163769,4,0.00294287475905543,"no","",1.75511963960466e-10,"up","COL5A2 (enriched, 13% vs 3%), CSMD2 (enriched, 19% vs 6%), TP53 (enriched, 37% vs 20%), XIRP2 (enriched, 30% vs 14%)","ATM (enriched, 7% vs 1%), MUC16 (enriched, 11% vs 4%), RB1 (enriched, 8% vs 0%), SMARCA4 (enriched, 7% vs 1%)",567
"KEAP1",3,0.434161597865386,"no",-0.0603362364922738,0.0530696686715892,3,0.00919746027213911,"no","CH_Act,HC_Act,LUAD_Act,LUSC_Act,NSCLC_Act,RCCC_Act",0.000247168628256966,"up","KEAP1 (enriched, 21% vs 6%)","",567
"CALM1",6,0.434985147933211,"no",-0.0482084457030036,0.185834576240861,5,0.145588642006704,"no","",2.70046593975173e-27,"down","","",567
"CCNT2",6,0.435072673823034,"no",0.0135387420844727,0.0492052141769329,5,0.123074196976664,"no","",1.01097944035535e-12,"up","","",567
"NEUROG1",5,0.435815707574828,"no",-0.0432304890022606,0.110440098977738,5,0.932920475627038,"no","",0.436103062663302,"up","","ARID1A (enriched, 19% vs 3%)",567
"TFAP2D",5,0.436006480706051,"no",0.0600383977973482,0.0648006810464775,4,0.024833942703331,"no","",5.73586347638003e-13,"up","","SMARCA4 (depleted, 1% vs 7%)",567
"SETDB2",5,0.436149569617266,"no",-0.0114431206585506,0.0911248352958464,4,0.88691428346275,"no","",4.86005919014907e-05,"down","","",567
"NRG2",4,0.436187164677233,"no",0.0254636621276251,0.122848535265295,4,0.770266728464562,"no","",3.46765638923672e-12,"down","","",567
"TAF1L",5,0.436388068347523,"no",-0.0674810843779041,0.145820053988984,4,0.995194627007653,"no","",4.08231477106366e-07,"up","","STK11 (enriched, 17% vs 6%)",567
"FBXW11",5,0.436435770669582,"no",-0.126783207211648,0.0433749287738137,5,0.236555163412315,"no","",0.146738164402638,"up","","SMARCA4 (depleted, 1% vs 7%)",567
"DMBX1",6,0.436473498622796,"no",-0.0383817047510589,0.105571675395039,5,0.967122456124564,"no","",1.35740811713044e-28,"up","","KEAP1 (depleted, 1% vs 7%), STK11 (depleted, 5% vs 18%)",567
"CALM3",6,0.436648655602924,"no",0.0162729380403846,0.0934790644592456,5,0.869061718666528,"no","",0.685402086101141,"up","","",567
"CLMP",6,0.436692446703269,"no",0.0837847988380591,0.0552872621117747,5,0.96169891642702,"no","",0.449374082549551,"up","","NF1 (enriched, 9% vs 2%)",567
"SPECC1",5,0.436769710889499,"no",-0.0904142256542238,0.0118097311844388,4,0.980981136918193,"no","",0.00131106491168027,"up","","STK11 (enriched, 17% vs 6%)",567
"SULT6B1",6,0.436867618510782,"no",-0.14407364814826,0.022494773049542,5,0.00782619169324201,"no","",0.0642481268762666,"up","","",567
"FGFR1OP",5,0.436912840930255,"no",-0.0799070109604464,0.0603200974030375,4,0.000410398487932975,"no","",5.3249198362944e-09,"up","","",567
