"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"PPP1R12B",6,3,0.835613391602067,"no",-0.108095094645023,0.221587730553279,0.0585333548395014,0.255241030344878,4,3,0.309710802996004,"no",""
"MUC1",7,2,0.836779652141677,"no",0.132698258594821,0.120289960538839,0.33414346798819,0.068787975770887,5,2,0.627817530339492,"no",""
"SELL",7,2,0.840945877191533,"no",-0.198588767935346,0.363415353372268,-0.168734110870069,0.0012902339433315,5,2,0.58988520677461,"no",""
"SHC1",7,2,0.842655776579421,"no",0.0870464750887038,0.137730671647294,0.134208370078229,0.139986552430418,5,2,0.271072179589888,"no",""
"CD48",7,2,0.850706874431899,"no",0.0728803752184242,0.0715353566301141,-0.0267210592018284,0.0302102753637667,5,2,0.350865912617106,"no",""
"NEK2",6,3,0.854464607185241,"no",-0.0790724077296675,0.150983375215122,-0.0325357805531467,0.239940792704539,4,3,0.543828216885866,"no",""
"DGKB",7,2,0.856742982449533,"no",-0.0694456851780903,0.258537803100072,-0.0724200906783836,0.0169406734455792,6,1,NA,NA,""
"CFHR4",6,3,0.856880603436051,"no",-0.108101144641986,0.382878577325531,-0.184190240733078,0.0898767363303635,4,3,0.544536419925657,"no",""
"DDX1",7,2,0.857893644985182,"no",-0.0379559064938491,0.10186573694812,0.114313065714416,0.0662437629388016,5,2,0.558671748363256,"no",""
"GPR37L1",6,3,0.857908140937683,"no",-0.209737939464095,0.102851316630557,0.0687405200205408,0.279988885297916,4,3,0.628353559862936,"no",""
"ARL17A",4,5,0.87280904832856,"no",0.0060600747981647,0.0620403165039826,0.0549041345169663,0.353533872442686,0,0,NA,NA,""
"KSR2",7,2,0.877633147625277,"no",-0.0620847427894193,0.0936496011835837,0.15527618610118,0.00261346501797702,5,2,0.795454326154052,"no",""
"EDARADD",5,3,0.877912471348042,"no",0.305060381510567,0.340359363312199,0.25261089502753,0.109780284401072,3,3,0.486504050749436,"no",""
"IRF6",6,3,0.880065410134107,"no",0.155516423301899,0.132597270014041,0.334989742455507,0.103663607024304,4,3,0.290825960204562,"no",""
"CREG1",7,2,0.885201081841148,"no",-0.183810978498432,0.200986462469171,0.018898997257523,0.181242446941392,5,2,0.293316214846667,"no",""
"TRIM17",7,2,0.885486909415818,"no",0.0600593281217682,0.139037989947087,0.438282398980223,0.098916672326518,5,2,0.504434102013295,"no",""
"PIGR",6,3,0.886374800430875,"no",-0.126305691479597,0.194202944291402,-0.0678829778530926,0.182552013253137,4,3,0.381232085039187,"no",""
"PRRX1",7,2,0.888500791511766,"no",0.143766982104494,0.181998035527665,0.350766908274596,0.015894831650505,5,2,0.403930631707226,"no","ST_Act"
"LYST",4,3,0.897408506603897,"no",-0.141505090353039,0.0492949438775686,-0.172261814200354,0.064714927912942,3,3,0.730374295834026,"no",""
"AKT3",5,3,0.90086814561023,"no",-0.122969317520553,0.228186913128652,0.0609565797489196,0.209622624695587,3,3,0.492870919710194,"no","PRAD_ambiguous,SSCC_ambiguous"
"IQGAP3",7,2,0.904979232418467,"no",-0.115979312744245,0.0925523002056706,-0.0235204715459898,0.104281253017976,5,2,0.361640796458589,"no",""
"CRABP2",7,2,0.913353506640363,"no",-0.0890571015902962,0.131567158428884,-0.0110611162766925,0.167587988583285,5,2,0.553113541145119,"no",""
"TPM3",7,2,0.916542555339336,"no",-0.116182202558873,0.279939249095341,-0.112848954841729,0.237515111299449,5,2,0.427389027615269,"no",""
"C1orf56",6,3,0.916684582441865,"no",-0.184763721895858,0.115284343021738,0.100501103553467,0.186180803433593,4,3,0.700821746080632,"no",""
"RBM34",5,3,0.918715214247756,"no",-0.0456214251412284,0.0685981103250485,-0.125185586447275,0.0273529611377753,3,3,0.388861164852622,"no",""
"EXO1",5,3,0.929859240964542,"no",-0.0178254924999174,0.113516144425241,0.174284384018279,0.195504587871902,3,3,0.37348341396295,"no",""
"CHRNB2",7,2,0.934395341538439,"no",-0.123540561819992,0.144922803945836,0.0604879874070846,0.112665857096198,5,2,0.514941506564145,"no",""
"MPZL1",7,2,0.935705391428059,"no",0.0224330208768403,0.117905518816097,0.115776891066518,0.00745522982735999,5,2,0.415329318825744,"no",""
"OR6F1",5,3,0.937011155831748,"no",-0.094678636631902,0.176413254233814,0.0195100533541881,0.225726524398659,3,3,0.709348886278786,"no",""
"RXFP4",7,2,0.941715098585854,"no",-0.165051009270047,0.305983511587385,-0.137889908261355,0.00692817091582298,5,2,0.415222207720368,"no",""
"CD247",7,2,0.945599442190201,"no",-0.370758664661374,0.274170587971372,-0.164219529959964,0.0426614053825885,5,2,0.542757591216147,"no",""
"SLAMF6",6,2,0.945930915386194,"no",-0.213312241192827,0.320742445476484,-0.000727448110975998,0.135142625664992,5,2,0.550615808103749,"no",""
"MAD1L1",7,2,0.952929858874719,"no",0.0217875489629547,0.206250424276201,0.305042515897975,0.065245960163015,5,2,0.705564351578514,"no",""
"ITPKB",6,3,0.958249787754754,"no",0.115759055560399,0.260686693222396,-0.0702357128485507,0.126787307015859,4,3,0.346403561566105,"no",""
"FBXW8",7,2,0.960026210600733,"no",-0.0658364737459548,0.201469770808267,-0.0125024066666886,0.0917005293781223,5,2,0.287581702534538,"no",""
"SEMA4A",7,2,0.961480896944157,"no",-0.228383557613838,0.200434846107141,0.09731414943897,0.00979953187780294,5,2,0.173735134585733,"no",""
"MIXL1",6,3,0.967113842842562,"no",-0.0348500622283611,0.0646913376089021,-0.113480915569665,0.149209984030904,4,3,0.680568364419267,"no",""
"CDC73",6,3,0.968211083746577,"no",-1.20439966545913,0.467081774855167,-0.83085602346797,0.226486201049205,4,3,0.490892583402554,"no","LUAD_LoF"
"FAM20B",7,2,0.973142413469434,"no",-0.000156706426463263,0.121474025654713,-0.0230722490136385,0.0064772600378135,5,2,0.569753996213924,"no",""
"FASLG",7,2,0.975640463633427,"no",-0.227352373556813,0.488962452692956,-0.047728816673914,0.234384739024753,5,2,0.415945324163041,"no",""
"SLC2A14",7,2,0.977496314899476,"no",0.0834473803645877,0.21157797345799,0.217066509841099,0.0614480658300795,5,2,0.419672291198939,"no",""
"SLC2A3",7,2,0.977496314899476,"no",0.0734029237034577,0.0866056074950556,-0.0964268271257998,0.0638979171557312,5,2,0.413857071438979,"no",""
"OR2T5",5,3,0.979051662557814,"no",-0.0870288585250577,0.156784711157383,-0.337988626105393,0.261284239403857,3,3,0.518625134945537,"no",""
"SLC39A1",7,2,0.980846647255219,"no",0.0271221617721425,0.207516602574611,-0.0480744581398616,0.0302080709245613,5,2,0.379697808200608,"no",""
"DCAF8",7,2,0.988188846818407,"no",-0.135178577167478,0.227459568762332,-0.0098009797063672,0.0611847251467457,5,2,0.464080504186978,"no",""
