"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"PARP1",4,0.731276192153279,"no",-0.147002520786683,0.0886422570333021,2,0.393814299890033,"no",""
"VPREB3",3,0.731340612315392,"no",-0.199483747022668,0.0899725252653343,1,NA,NA,""
"ADIPOQ",5,0.731701585187711,"no",0.015040201052376,0.0610156857430046,3,0.0370135741967271,"no",""
"GRB2",5,0.731782340502628,"no",-0.01155182790978,0.0633844357404397,3,0.998070868322335,"no",""
"TBC1D3P1-DHX40P1",5,0.73214559676269,"no",-0.0130098211140708,0.277844434943846,0,NA,NA,""
"AKTIP",5,0.732185944151761,"no",0.0993580062503002,0.0788821732281124,3,0.48924200597489,"no",""
"RAB25",5,0.732387637815093,"no",-0.118595419609967,0.313672421068339,3,0.875499358068834,"no",""
"UBD",5,0.732427967888632,"no",-0.107442573330225,0.132610477350657,3,0.132121375882087,"no",""
"HBG2",4,0.732752784885672,"no",-0.20524025327499,0.149401972665169,2,0.145659863058791,"no",""
"HBG1",4,0.732752784885672,"no",-0.137032315860735,0.310819631300073,2,0.337115567473618,"no",""
"RAB4A",4,0.732886832962033,"no",-0.193091238338797,0.316412687501618,2,0.885904859490493,"no",""
"BIN3",5,0.733032572300248,"no",-0.201326073160822,0.00516364558058902,3,3.89760532626404e-07,"yes",""
"TYW5",5,0.733072856130671,"no",-0.0390983046346784,0.14410112127974,3,0.230122275877684,"no",""
"TFDP2",5,0.733193690259457,"no",0.126323139746614,0.0365205590217,3,0.819137346373463,"no",""
"C17orf99",5,0.734119218976728,"no",-0.0685859641988698,0.199071392285418,3,0.629895354329038,"no",""
"UBE4B",5,0.73440059697608,"no",-0.101759297798952,0.165818489531061,3,0.985600659245326,"no",""
"SULT2B1",5,0.734480964540091,"no",-0.258290212726754,0.048948366830641,3,0.90691551522052,"no",""
"RASGEF1A",5,0.73484247463876,"no",-0.41924795984842,0.055271883827284,3,0.394529220165552,"no",""
"BRWD1",3,0.734867559879872,"no",-0.0268249839276271,0.0960002198361877,2,0.491566946803552,"no",""
"PPP1R12B",4,0.734982821809194,"no",0.106645012010284,0.247102400383787,2,0.0420983571537451,"no",""
"EIF4H",5,0.735043211735686,"no",-0.255708129826406,0.313814007017615,3,0.863311750399102,"no",""
"AURKA",5,0.735083350419612,"no",-0.556467000854839,0.228970296705087,3,0.999900123231267,"no",""
"FKBP3",5,0.735123486190826,"no",-0.106045636625622,0.0500204258326084,3,0.0665136594084107,"no",""
"CYP11B2",2,0.735771580647125,"no",-0.134219987118828,0.0583379651054308,1,NA,NA,""
"WEE2",5,0.73580534828716,"no",-0.438205323770243,0.118137950596959,3,0.0316827699300378,"no",""
"PSEN2",4,0.736094560491986,"no",-0.180143852376581,0.169686978180481,2,0.158817775787137,"no",""
"DLX1",5,0.736206049616393,"no",0.0763843471084146,0.0923754017552577,3,0.597000472596661,"no",""
"SKIV2L",2,0.736240070626741,"no",-0.209832514050913,0.0396840993270115,0,NA,NA,""
"GRIN2B",5,0.736486366629503,"no",-0.160591421827601,0.261036763595202,3,0.0228357557834696,"no",""
"KCNA6",4,0.73680492121401,"no",-0.15371776283916,0.132672333191422,2,0.0744660753162518,"no",""
