"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ST18",5,0.338880987590266,"no",-0.151431607844824,0.154389143269706,3,0.971543796465821,"no",""
"VSIG10",4,0.339287249663723,"no",0.0258039893360035,0.10573200143995,2,0.518152688293875,"no",""
"SMARCAL1",5,0.339371129514007,"no",-0.199781929233779,0.136538782303665,3,0.467491027511944,"no",""
"GPR55",5,0.33950484870775,"no",-0.0726297673037537,0.140602508372803,3,0.999106051325379,"no",""
"ARHGAP30",5,0.339816933568041,"no",0.125338678139709,0.190202767529483,3,0.702793820135061,"no",""
"KLHL32",4,0.339830666254766,"no",0.0416316949587486,0.191358119910619,2,0.991534197457368,"no",""
"CLCNKB",4,0.340275515224093,"no",0.0357329908715849,0.122812278735076,2,0.369951800449612,"no",""
"CDC6",5,0.340396791862123,"no",-0.192203133084093,0.260335375669084,3,0.000117396447248383,"yes",""
"RAVER1",4,0.340621655002494,"no",-0.414464502632321,0.108262432934243,2,0.144171110181755,"no",""
"GPR63",4,0.340671113965557,"no",-0.272827262165277,0.148693188904815,2,0.74178931469166,"no",""
"PRPF4B",5,0.34111094775315,"no",-1.09340490570294,0.0953137031198349,3,0.0154189384035544,"no",""
"SLC7A11",5,0.341512894444394,"no",-0.103953517078089,0.223506424902435,3,0.785309566702665,"no",""
"SGCG",4,0.342304716539153,"no",0.0776805414902939,0.1033325509576,2,0.772256759172217,"no",""
"TAAR8",5,0.342675016019654,"no",0.0294731132192419,0.137362124344836,3,0.962220607356062,"no",""
"SMPD3",5,0.342764467785015,"no",-0.0706102988154739,0.2068268323338,3,0.131161445350121,"no",""
"MAP2K7",4,0.343147368215965,"no",0.107231285652034,0.12107378555422,2,0.216341685902297,"no","ST_LoF"
"KRT85",4,0.343395348475766,"no",-0.0435858532752894,0.104703754541675,2,0.709936602974858,"no",""
"KIAA2018",4,0.344090034386204,"no",NA,NA,0,NA,NA,""
"HNRNPA2B1",5,0.344465611090321,"no",-0.381506754780515,0.09141993132078,3,0.0448275692504236,"no","HC_Act"
"COLQ",5,0.344465611090321,"no",0.0625557010525234,0.0558864999357247,3,0.950403637219179,"no",""
"SDHB",5,0.344555226737878,"no",-0.486569934929918,0.25770165467822,3,0.00062687246181613,"no",""
"LPAR2",5,0.344779301497182,"no",-0.163413907899934,0.063106950880251,3,0.0213971525322851,"no",""
"TGIF2",5,0.345003427117014,"no",-0.226092441617282,0.073590060580564,3,0.429248034049576,"no",""
"GTF3A",4,0.345083312068194,"no",0.0320076360949815,0.0547107689414915,2,0.00332559835989493,"no",""
"CSNK1G3",5,0.34549668217468,"no",-0.0443323887895175,0.0137895151436877,3,0.999576071843631,"no",""
"CHD1",5,0.346798254889393,"no",-0.0204370899324045,0.129323576535885,3,0.0590801075163764,"no",""
"AVPR1B",4,0.347023126089308,"no",-0.149862670596443,0.122236185642758,2,0.579678029437752,"no",""
"GRAP2",5,0.347067757274112,"no",-0.177772725480609,0.142045991403943,3,0.122519161092323,"no",""
"PBX1",4,0.347321899975019,"no",-0.19566861343732,0.258846853118689,2,0.923181127788941,"no",""
"ADH1C",5,0.347382268015436,"no",0.110386214910352,0.135035424538775,0,NA,NA,""
"CITED2",5,0.347517088385796,"no",-0.0602557706264918,0.0760866292132048,3,0.477583570904609,"no",""
"SLC19A1",3,0.348416683438674,"no",-0.0466478869034255,0.120570273551056,1,NA,NA,""
"GPR17",5,0.34873128040386,"no",-0.209460854177315,0.147850267171482,3,0.659643588640145,"no",""
"FRS2",5,0.348821278289494,"no",-0.0613706425376419,0.128337454684907,3,0.999635822159078,"no",""
"HIC2",2,0.348835963323834,"no",0.0803852354700236,0.0421628284860314,0,NA,NA,""
"XPR1",4,0.349016657287839,"no",-0.0121698232212458,0.256821033713166,2,0.549030189153697,"no",""
"MFI2",3,0.349044119538056,"no",NA,NA,0,NA,NA,""
"NFRKB",5,0.349181349197164,"no",-0.136692108939015,0.145454900266174,3,0.00474574757749582,"no",""
"ANKRD23",5,0.349901871049857,"no",-0.0837253222862939,0.0619276840888811,3,0.14589793132848,"no",""
"ATAD5",5,0.349991971824066,"no",-0.0520287328916599,0.137120007813452,3,0.219130858431788,"no",""
"KRT1",5,0.350127137765879,"no",-0.00874603989541084,0.25929454547031,3,0.867359803923784,"no",""
