"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"LPAR6",10,0.388334378058731,"no",-0.0697113240114582,0.0870412169277763,7,0.556171236227312,"no","","","NPM1 (depleted, 3% vs 28%)",143
"METTL2A",10,0.389302175796888,"no",0.0124536480859672,0.13736158945187,6,0.504182533431217,"no","","","",143
"TTBK2",11,0.389369837296586,"no",-0.220118830424707,0.212446761252406,7,0.926696528646872,"no","","","",143
"HRAS",10,0.389636054007246,"no",-0.0258681081925329,0.110835154179731,7,0.0754556980613173,"no","BLCA_Act,BRCA_Act,CM_Act,COREAD_Act,HNSC_Act,LUSC_Act,PCPG_Act,PRAD_Act,SSCC_Act,THCA_Act,THYM_Act,VV_Act","","",143
"BTBD8",11,0.389816131088441,"no",-0.000793148801212645,0.207232401670825,7,0.957905587112338,"no","","","",143
"NTN5",11,0.389816131088441,"no",-0.0275259413433616,0.0825160244674873,7,0.202230257068996,"no","","","",143
"HDGF",11,0.390198781165642,"no",-0.192386869505621,0.223352844817411,7,0.389143895179921,"no","","","",143
"CPSF7",11,0.390453938750704,"no",-0.0325818600324594,0.0929648649856713,7,0.960398385660863,"no","","","",143
"SLC6A20",11,0.390709142244032,"no",-0.135161026433437,0.191557808067973,7,0.769367897449269,"no","","","",143
"FLT4",11,0.391219686548516,"no",-0.178408126780383,0.172478774396429,7,0.952184940017571,"no","ANGS_ambiguous,BLCA_ambiguous,HC_ambiguous,LUAD_ambiguous,LUSC_ambiguous,NB_ambiguous,SBCC_ambiguous","","",143
"TGM2",8,0.391487458814598,"no",0.0941968744554085,0.101116965340021,5,0.992309826003235,"no","","","",143
"FOXE3",11,0.391538869421445,"no",-0.102514611411337,0.143943112752278,7,0.971881928611521,"no","","","",143
"ZNF197",10,0.39241027233657,"no",NA,NA,7,0.663108126583795,"no","","","",143
"ATP5O",9,0.393146921166411,"no",-0.0224140431393049,0.18751857029044,0,NA,NA,"",NA,NA,143
"TIE1",10,0.393548241010337,"no",-0.224401809876504,0.135679185239195,6,0.0544724184638691,"no","","","",143
"KCNK6",11,0.393583313907505,"no",-0.111527275923754,0.338448369405363,7,0.951311339965446,"no","","","",143
"PGAM5",11,0.393583313907505,"no",-0.187576310018177,0.350073972877466,7,0.744450229668392,"no","","","",143
"NR5A2",11,0.39377512792401,"no",0.0246122052145841,0.20633053163324,7,0.936470685946715,"no","","","",143
"RNF5",10,0.394419048507419,"no",-0.011346330377755,0.240223888730591,6,0.430096857310636,"no","","","",143
"RNF5P1",10,0.394419048507419,"no",-0.0645675262835369,0.0822738111518237,0,NA,NA,"","","",143
"ANKRD42",10,0.394687092514392,"no",0.0186277966973595,0.124506268226804,6,0.757179839812085,"no","","","NPM1 (enriched, 26% vs 5%)",143
"VANGL2",11,0.394990530589387,"no",-0.207484367714642,0.177855132011645,7,0.321928460184508,"no","","","",143
"ERMAP",9,0.395226831141704,"no",-0.134171283931542,0.273402748531502,5,0.841949989405781,"no","","","",143
"CLDN11",10,0.395726218913387,"no",-0.00697107734701485,0.210223548749047,6,0.735200114655174,"no","","","",143
"KATNB1",11,0.396078839763174,"no",0.0636350646815624,0.223902487483196,7,0.00165363568925104,"no","","","",143
"SGCG",9,0.396144322306539,"no",0.114822818744292,0.0509454385081099,7,0.758053528221754,"no","","","",143
