"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"APH1A",7,3,0.36030977266854,"no",-0.00481256098489852,0.0690394573124784,0.110674607652829,0.142718833318147,3,2,0.56687936906188,"no",""
"SLC6A12",8,2,0.360915262128858,"no",-0.0458094445849549,0.114224444652595,0.0134928289723235,0.0292140260366093,4,1,NA,NA,""
"CADM3",7,2,0.362779057157993,"no",0.00394183304863852,0.151573400917559,-0.148596519446837,0.0620473669259047,3,1,NA,NA,""
"BAZ1A",8,2,0.365756754833395,"no",-0.0543814062841708,0.225865826497584,0.00134145845472701,0.143189501787766,4,1,NA,NA,""
"KCNF1",8,2,0.367105492352189,"no",-0.0934002156775436,0.351036044694731,-0.119004002751816,0.0205533387664173,4,1,NA,NA,""
"FCGR2B",8,2,0.369696525546593,"no",-0.0560004479302511,0.045424432828538,-0.152598535149691,0.252276545028677,4,1,NA,NA,""
"PTK6",8,2,0.376416219220048,"no",-0.0492259459445494,0.156881163422968,-0.200157661816317,0.191548866458109,3,2,0.52602819097503,"no",""
"EPN2",7,2,0.376501393362825,"no",-0.291448008288036,0.197033833921528,-0.164227219718624,0.105930224462643,3,2,0.535286536515798,"no",""
"DNAJC5",8,2,0.377873783271369,"no",-0.0924721566120819,0.0482190724411262,-0.0387666163315295,0.258092860127352,3,2,0.568288660468826,"no",""
"CD1E",7,2,0.378336585177624,"no",NA,NA,NA,NA,4,1,NA,NA,""
"UHMK1",7,2,0.380836096056178,"no",0.0494576091275384,0.144596439868553,0.0641046504665721,0.0699867295780459,3,1,NA,NA,""
"OR2T12",8,2,0.381340542342459,"no",-0.0319194730992094,0.249042913803241,0.199254881211454,0.185013546176526,3,2,0.0601047953984456,"no",""
"OR2T8",8,2,0.381340542342459,"no",0.0984695072665319,0.210425084240122,0.20565271103977,0.0775669415316385,3,2,0.510249033434551,"no",""
"G2E3",8,2,0.383544417025351,"no",0.071475511991732,0.155545923894062,0.128327627586508,0.0303912240459449,4,1,NA,NA,""
"LAMA5",5,2,0.386473272246455,"no",-0.214567800483164,0.116649483106413,-0.0486662022508789,0.0751532839692512,1,2,NA,NA,""
"BMP7",8,2,0.386687932547829,"no",-0.0817789277980865,0.238710115234765,-0.221538982827775,0.217124789423035,3,2,0.162344434041203,"no",""
