"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","DeleteriousDnDs","intogen_gene_role","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"GLYR1",342,3,0.899133805948065,"no",0.0514514005356875,0.404510375910002,0.140072866775242,0.398175542512079,255,3,0.778909756150742,"no",1,"",0.00204277817832252,8322
"LRRK1",305,7,0.899437405306815,"no",0.0173996916273759,0.16392376150157,0.062123927919088,0.0490256458325258,234,4,0.449222724052255,"no",0.4,"",0.00336457582311944,8322
"ASXL1",305,11,0.899542109346429,"no",-0.092832867565624,0.179802660970148,-0.0419234744798681,0.0828398363325432,230,6,0.60782694385317,"no",0.705882352941177,"ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF",0.00925258351357847,8322
"ARAP1",313,5,0.899595198993462,"no",0.00692549122404901,0.140819777092069,0.0376515865552141,0.112688738961204,241,1,NA,NA,0.7,"",0.00240326844508532,8322
"SLC47A1",323,3,0.899629836739758,"no",-0.0541603264820322,0.157086414300964,-0.0528957473230301,0.0566844073941329,246,2,0.0987272535508688,"no",0.444444444444444,"",0.00144196106705119,8322
"RDH10",325,9,0.899723587726112,"no",-0.0851037904345052,0.234524978285319,0.00363135392695539,0.0935324135699337,242,8,0.436781401758128,"no",5.5,"",0.000360490266762797,8322
"MNX1",326,3,0.899904213823203,"no",0.0131488371657297,0.159368046601532,0.0172779062143955,0.111626565989664,238,4,0.413154531866383,"no",1,"",0.000480653689017063,8322
"IGSF11",332,3,0.90011280099838,"no",0.0685800483490396,0.234596410130444,0.168895598363923,0.132361053390602,253,3,0.698937096491451,"no",0.5,"",0.00168228791155972,8322
"LDHC",338,2,0.900771715106246,"no",-0.127119136054459,0.224245998554636,-0.161941227083557,0.114317692713467,256,1,NA,NA,3,"",0.000961307378034126,8322
"TTN",81,97,0.900878591497037,"no",0.0456837730062341,0.209307714337754,0.0349584878278986,0.144900646506363,56,69,0.484564898885784,"no",0.565972222222222,"",0.106344628695025,8322
