"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"MTMR14",335,12,0.623743766080044,"no",-0.113393288475511,0.164521317483906,-0.0609098487828803,0.153686851996217,254,8,0.839360000979657,"no",7,"",0.00672915164623888,8322
"SHC3",340,5,0.623775323088447,"no",-0.06311035290534,0.157795415280633,-0.0617811873897956,0.11724206397434,256,4,0.704832904975984,"no",2,"",0.0103340543138669,8322
"TNK2",289,21,0.623853878587822,"no",-0.0266854945905433,0.256059919892691,-0.0205945312540335,0.155186475881201,223,12,0.205528104562783,"no",1.92307692307692,"",0.0104542177361211,8322
"CLTCL1",311,22,0.623865382461079,"no",-0.00239038502537969,0.140725586422997,-0.023351821879794,0.0846130712597954,235,16,0.421751488491981,"no",3.25,"HC_Act",0.0213890891612593,8322
"WDR91",323,19,0.624455917296819,"no",0.0866837615731143,0.158519589195109,0.0452614440364491,0.153682779449672,248,8,0.586883410161914,"no",5.75,"",0.0116558519586638,8322
"DGKQ",324,19,0.624745397512685,"no",0.0520347616086299,0.179524896742895,0.0350157299425164,0.105291537464716,242,15,0.450358538270839,"no",4.2,"",0.00432588320115357,8322
"RDH8",342,4,0.624988885712915,"no",0.055332464772702,0.134861642660916,0.13005416860776,0.189522898186622,258,4,0.857404183048242,"no",2,"",0.00865176640230714,8322
"TSPAN11",328,5,0.625009558888803,"no",-0.0301560421037832,0.167995348079612,-0.0536406949802269,0.142937040139213,248,3,0.600503459475661,"no",1.16666666666667,"",0.0045662100456621,8322
"CRBN",330,6,0.625037689497099,"no",-0.0290631507967319,0.181609440145682,0.0219895007636387,0.0714628828618745,251,4,0.790065850637886,"no",2.33333333333333,"",0.00468637346791637,8322
"C2orf44",337,13,0.625828912203239,"no",NA,NA,NA,NA,0,0,NA,NA,2.83333333333333,"",0.0087719298245614,8322
"LGALS1",349,2,0.625830456513718,"no",0.0724193418418982,0.2464859610913,0.0836463605077288,0.0666704101329763,264,2,0.577032683131451,"no",0.75,"",0.00168228791155972,8322
"EPHB3",320,11,0.625893206163074,"no",-0.0316961124668151,0.162313158047083,-0.00675201881213864,0.131052125525157,245,7,0.487689825536353,"no",1.08333333333333,"",0.0161018985820716,8322
"RALGAPA2",319,27,0.625901686339606,"no",0.0276094610977482,0.235164780692039,-0.0333056462331587,0.365699858357544,237,19,0.36362514803308,"no",2.61538461538462,"",0.0224705599615477,8322
"FEV",355,3,0.625902140952303,"no",0.0032534395840305,0.183555220953397,-0.0832171172963849,0.0741894648014549,266,1,NA,NA,3.5,"",0.00132179764479692,8322
"CERK",331,11,0.626050904834607,"no",-0.00505197488479778,0.195185647865768,-0.000534884581001932,0.160605651794471,250,8,0.638235908702551,"no",6.5,"",0.00588800769045902,8322
"MAP3K11",329,9,0.626564002684735,"no",-0.0360606797689852,0.150141028331058,-0.146964130928184,0.182920633667729,247,6,0.370104930585179,"no",1.66666666666667,"",0.0091324200913242,8322
"PPP3CC",331,5,0.626569251733829,"no",-0.0364426507379378,0.187686577427763,-0.0763773958774102,0.257983088896305,253,4,0.431352173276046,"no",1.5,"",0.00504686373467916,8322
