"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"COX4I2",35,0.133382966777225,"no",-0.0241670696182649,0.14450032197631,26,0.00252773240062409,"no","","CSMD1 (depleted, 23% vs 42%), DNAH5 (depleted, 36% vs 58%), DNAH9 (depleted, 19% vs 37%), HRNR (depleted, 8% vs 22%), USH2A (depleted, 20% vs 39%)","CSMD1 (depleted, 1% vs 8%), DNAH5 (depleted, 6% vs 16%), LRP1B (depleted, 4% vs 12%), TTN (depleted, 13% vs 25%)",467
"FRY",30,0.133650421228828,"no",-0.0369980265863152,0.316526738148478,21,0.999999781110278,"no","","","",467
"PPFIA4",30,0.13387688027173,"no",-0.0996871723872894,0.311061791319142,0,NA,NA,"","","",467
"PHF12",31,0.134256949816178,"no",-0.195247829862542,0.281774313758173,23,3.26498746159999e-11,"yes","","","",467
"PITX2",35,0.13428616312452,"no",0.0276044072870223,0.132531358019012,26,0.998963357422074,"no","","BRAF (depleted, 37% vs 62%), KIT (enriched, 9% vs 0%)","",467
"DMRT2",30,0.134432674487424,"no",-0.00546736485905995,0.202780727383763,21,0.99999999999999,"no","","","",467
"TBC1D3G",32,0.134509488257369,"no",0.152176582231165,0.306721994311733,0,NA,NA,"","","",467
"TBC1D3H",32,0.134509488257369,"no",-0.081098156314284,0.175221559785634,0,NA,NA,"","","",467
"CCBL2",33,0.13464911516612,"no",NA,NA,0,NA,NA,"",NA,NA,467
"EIF4H",34,0.135101343366581,"no",0.0357029052817752,0.177395904540635,25,0.000232537274702782,"no","","","",467
"PMS2",30,0.135137279593656,"no",0.0122635910359973,0.178733964481427,20,0.579515130845891,"no","PRAD_LoF","","",467
"PMS2CL",30,0.135137279593656,"no",-0.0103177810971678,0.298898358981744,0,NA,NA,"","","",467
"SETD6",35,0.135267956184045,"no",0.0553274921831511,0.194434900448339,26,0.925978054954545,"no","","","",467
"CBX5",34,0.135726270830401,"no",-0.184870154420847,0.314180539219179,25,0.00238449793459063,"no","","","",467
"CFTR",28,0.13582798225616,"no",0.0292218375204521,0.115049878646547,20,0.967795022383508,"no","","","",467
"SMYD2",33,0.136119512757333,"no",0.0256027888636471,0.0961478341770471,24,0.387166726156833,"no","","","",467
"TNK2",31,0.136403943062366,"no",-0.080240486592783,0.236378624870497,22,0.9999965104794,"no","","","",467
"TAF1L",30,0.136499575666105,"no",-0.256702559176957,0.30954322413601,23,0.999999999838829,"no","","","",467
"SIRT4",33,0.136836277582775,"no",0.0276173854501584,0.182825189907096,25,0.531448304099171,"no","","","",467
"APOD",31,0.137272731809903,"no",-0.0970975740478481,0.270162864241383,23,0.0181984493935997,"no","","","",467
"FGF10",32,0.137346571958131,"no",-0.0305195839856605,0.0848010512545352,25,0.680606297632918,"no","","","",467
