"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"IRAK3",15,0.167179291282051,"no",-0.0658508058784985,0.153273727912624,9,0.952182150765757,"no","","","",434
"CNBP",12,0.167331316497376,"no",-0.0372587879307631,0.164524088808857,9,0.584241348782779,"no","","","",434
"SEH1L",12,0.167540936910459,"no",-0.542847131623192,0.419491939066229,9,1.8426611503849e-10,"yes","","","",434
"RAB3C",13,0.168557695772101,"no",-0.0721762230949844,0.0485450226058422,8,0.992511537063891,"no","","","",434
"PMVK",11,0.168568628239947,"no",-0.0246609376328203,0.194507399760798,7,8.7416266519182e-05,"yes","","","",434
"SEMA4C",14,0.168626034736479,"no",-0.032925269920219,0.211772179179214,8,0.0961698159321915,"no","","","",434
"BIN3",15,0.168665024689123,"no",-0.0640246848217699,0.10821124667484,9,1.00000000000005,"no","","","",434
"SIGLEC14",11,0.168847004562529,"no",-0.148222138807506,0.206449734647771,0,NA,NA,"","","",434
"CCDC91",12,0.168925115968436,"no",0.0330246421647062,0.11815325743037,8,0.997793631545217,"no","","","",434
"ENO1",11,0.168947950124456,"no",-0.0824619101236383,0.276351524490967,8,1.52075370043042e-06,"yes","","","CDK12 (enriched, 7% vs 0%)",434
"DMWD",12,0.16958983196123,"no",-0.0582489252649386,0.096891591913566,9,0.0680791836302709,"no","","","",434
"JMJD4",9,0.169683889687619,"no",0.0164581257720272,0.130536680540343,8,0.68955913068013,"no","","","",434
"TAAR5",13,0.169828808721942,"no",0.0670035555920886,0.0715631241236417,8,0.648325494708458,"no","","","",434
"UPF3A",14,0.169869577555444,"no",-0.0640642138257349,0.0862839792894189,9,3.74716228508763e-07,"yes","","","",434
"ANKRD23",13,0.170103705774276,"no",-0.0355449060514281,0.264458689177151,8,0.0240202735107852,"no","","","",434
"RAPGEFL1",10,0.170670078101022,"no",-0.0949564315126035,0.225276687291198,9,0.0534443643133397,"no","","","",434
"REV1",13,0.17075855250651,"no",-0.126924877915544,0.0748468010750461,8,0.670246437562744,"no","","","",434
"KCND3",14,0.171060094163401,"no",-0.0632282384625641,0.142498687893702,9,0.0019554690643436,"no","","","",434
"SH3BP2",13,0.171134306042742,"no",-0.109190530574808,0.13509973825007,8,0.993379055713819,"no","","","",434
"FSTL3",14,0.171240338251001,"no",0.0475620430352299,0.157123759265583,9,0.992066970921464,"no","","","",434
"GNG5",12,0.17127146400095,"no",0.0156588776858221,0.096677562685939,7,0.00512408786416114,"no","","","",434
"RBM11",13,0.171602816730347,"no",-0.151259617735356,0.25050529607977,8,0.987329432042925,"no","","","",434
"GADD45A",12,0.171906469765242,"no",-0.085613970485032,0.116580087948767,7,0.997982905085835,"no","","","",434
"CPEB4",13,0.17192606559237,"no",-0.0825206369712912,0.132795050980319,9,0.9410883722243,"no","","","",434
"TMPRSS2",15,0.172002557241697,"no",-0.130405005327027,0.243872441139147,9,0.999049513258879,"no","","","",434
