"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"PHGDH",24,2,0.199316960121282,"no",-0.242463750247974,0.261017638960651,-0.160706245530082,0.0362296595244365,15,2,0.759591154526804,"no","",0.254243596519689,0.0136986301369863,511
"SLC6A19",22,5,0.200598982137491,"no",0.0395359422140367,0.197363977601095,0.0285741291304954,0.241959626781648,13,5,0.178991705522563,"no","",0.00723362962801324,0.129158512720157,511
"LRIG2",22,3,0.202291228937021,"no",-0.10122994334531,0.179500177075597,-0.153331592406495,0.0757395455130325,15,3,0.249846918705679,"no","",NA,0.00195694716242661,511
"GPSM2",24,3,0.202857728315601,"no",0.0221585186883271,0.109543764578969,-0.0121122939334609,0.0191100007576268,15,3,0.846921723857683,"no","",NA,0,511
"KIAA1324",22,3,0.20471799102598,"no",0.0277502938404703,0.255030786826211,-0.00173792884191898,0.109110734306128,14,3,0.843521767819651,"no","",NA,0,511
"GSTM2",21,3,0.205001358881244,"no",0.11270742291069,0.140046993735595,0.0489676550301324,0.0849251198973506,13,3,0.472371917486831,"no","",NA,0,511
"CADM3",25,3,0.205229732865877,"no",-0.0101155818815565,0.126487582516783,-0.0828953823805013,0.0518517564805692,17,2,0.231210018787517,"no","",0.856106303361276,0.0704500978473581,511
"CLDN15",26,2,0.205924684371871,"no",-0.0651236276022769,0.146392042936654,0.115411993141715,0.100021524141882,17,2,0.145419693603091,"no","",0.000110526025100333,0.0195694716242661,511
"HGF",22,4,0.206290634638646,"no",0.0570507625299893,0.101078518389229,0.0820124871272227,0.124344652260961,13,4,0.484401879699873,"no","BC_Act",0.668156523293414,0.0117416829745597,511
"HOXA11",25,2,0.206776537878979,"no",NA,NA,NA,NA,17,2,0.599847410451629,"no","UCEC_ambiguous",0.323073502125805,0.0176125244618395,511
"SHC1",24,4,0.206997162854941,"no",-0.0436185177185308,0.104368105713797,-0.0205192999458136,0.0892414246557837,15,4,0.282287869829562,"no","",9.16710920304363e-10,0.0998043052837573,511
"CIRH1A",25,3,0.207023147709286,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00195694716242661,511
"CFHR3",9,18,0.207397380582408,"no",-0.0173458243916654,0.0897343681255835,-0.0520156467585794,0.15322485177388,5,13,0.4875725130851,"no","",0.357651099573785,0.0332681017612524,511
"PRDM14",23,2,0.207960738745685,"no",-0.0182115626876752,0.222984703315552,-0.0543593543388757,0.0146783486328795,15,2,0.343408826032567,"no","",0.0133469304805699,0.0273972602739726,511
"PHC3",25,2,0.208653960159674,"no",-0.22767742817295,0.202652146681831,-0.16943333478404,0.0818910521153842,16,2,0.547268423358845,"no","",0.000100550148945952,0.0273972602739726,511
"MAP2K1",26,2,0.208771405503155,"no",0.00275511216838342,0.0969227012473476,-0.0808443042337919,0.165803619560558,17,2,0.292433203376235,"no","BLCA_Act,CM_Act,COREAD_Act,DLBCL_Act,LUAD_Act,NSCLC_Act",NA,0.00195694716242661,511
"ISL2",25,3,0.210369489746746,"no",-0.0446651862229987,0.183519949776344,-0.0634066238439487,0.0613795835831431,16,3,0.495638777878094,"no","",0.027101719227045,0.00391389432485323,511
"IRAK4",24,2,0.210929631594765,"no",-0.0257995088467035,0.112492056457712,-0.0188287709394433,0.0579680867291936,17,1,NA,NA,"",0.488128377002882,0.00587084148727984,511
"SEMA3A",23,4,0.210944645981334,"no",0.0538044675286966,0.0984992735657242,0.01473352800001,0.154687534878586,14,4,0.321637337359256,"no","",0.335967154259835,0.00978473581213307,511
"SLC6A3",21,5,0.21204429318271,"no",-0.209371386953444,0.245412284619466,-0.0849578665484444,0.0918555035752354,12,5,0.442583316909158,"no","",0.000777918172997717,0.125244618395303,511
"AGAP3",23,2,0.212220105808713,"no",0.111235718187979,0.129976451701083,0.169126095314243,0.0928066786759593,16,2,0.523696014662087,"no","",0.0011161139205703,0.0176125244618395,511
"WDR20",24,3,0.212365033063734,"no",-0.0676483935175313,0.181418197948133,-0.251232717291856,0.164728844048328,15,3,0.345720521705294,"no","",0.00146862522473259,0.00587084148727984,511
"WDR37",22,2,0.212530672191348,"no",-0.0521781564802556,0.233146652808439,-0.110077614166941,0.0756485990317414,14,2,0.400944511518961,"no","",0.0117899264662184,0.00587084148727984,511
